id,ts,team,avg_acs
422,2025-10-07 23:46:34.495504+05:00,FunPlus Phoenix,123.66
423,2025-10-07 23:46:34.495843+05:00,Trace Esports,232.82
424,2025-10-07 23:46:34.496199+05:00,G2 Esports,261.31
425,2025-10-07 23:46:34.496608+05:00,Paper Rex,243.18
426,2025-10-07 23:46:34.496976+05:00,KRÜ Esports,259.65
427,2025-10-07 23:46:34.497291+05:00,FNATIC,215.35
428,2025-10-07 23:46:34.497589+05:00,DRX,273.12
429,2025-10-07 23:46:34.497973+05:00,Team Heretics,215.09
430,2025-10-07 23:46:34.498325+05:00,Team Vitality,177.86
431,2025-10-07 23:46:34.498612+05:00,Sentinels,261.49
432,2025-10-07 23:46:34.498920+05:00,Bilibili Gaming,249.62
433,2025-10-07 23:46:44.508768+05:00,TALON,231.42
434,2025-10-07 23:46:44.509549+05:00,LEVIATÁN,212.67
435,2025-10-07 23:46:44.509885+05:00,Gen.G,265.65
436,2025-10-07 23:46:44.510191+05:00,FUT Esports,274.35
437,2025-10-07 23:46:44.510492+05:00,EDward Gaming,222.35
438,2025-10-07 23:46:44.510829+05:00,FunPlus Phoenix,130.97
439,2025-10-07 23:46:44.511133+05:00,Trace Esports,240.39
440,2025-10-07 23:46:44.511426+05:00,G2 Esports,257.07
441,2025-10-07 23:46:44.511712+05:00,Paper Rex,246.97
442,2025-10-07 23:46:44.512017+05:00,KRÜ Esports,263.37
443,2025-10-07 23:46:44.512350+05:00,FNATIC,206.23
444,2025-10-07 23:46:44.512639+05:00,DRX,267.06
445,2025-10-07 23:46:44.512924+05:00,Team Heretics,220.54
446,2025-10-07 23:46:44.513247+05:00,Team Vitality,168.66
447,2025-10-07 23:46:44.513547+05:00,Sentinels,259.82
448,2025-10-07 23:46:44.513835+05:00,Bilibili Gaming,253.61
449,2025-10-07 23:46:54.523996+05:00,TALON,229.23
450,2025-10-07 23:46:54.526080+05:00,LEVIATÁN,222.52
451,2025-10-07 23:46:54.526384+05:00,Gen.G,260.65
452,2025-10-07 23:46:54.526680+05:00,FUT Esports,274.00
453,2025-10-07 23:46:54.526973+05:00,EDward Gaming,214.00
454,2025-10-07 23:46:54.527260+05:00,FunPlus Phoenix,130.52
455,2025-10-07 23:46:54.527551+05:00,Trace Esports,235.66
456,2025-10-07 23:46:54.527854+05:00,G2 Esports,247.42
457,2025-10-07 23:46:54.528162+05:00,Paper Rex,256.53
458,2025-10-07 23:46:54.528457+05:00,KRÜ Esports,267.27
459,2025-10-07 23:46:54.528817+05:00,FNATIC,205.96
460,2025-10-07 23:46:54.529219+05:00,DRX,272.61
461,2025-10-07 23:46:54.529567+05:00,Team Heretics,226.12
462,2025-10-07 23:46:54.529942+05:00,Team Vitality,169.81
463,2025-10-07 23:46:54.530227+05:00,Sentinels,268.59
464,2025-10-07 23:46:54.530516+05:00,Bilibili Gaming,260.08
465,2025-10-07 23:47:04.536929+05:00,TALON,224.50
466,2025-10-07 23:47:04.538954+05:00,LEVIATÁN,213.06
467,2025-10-07 23:47:04.539371+05:00,Gen.G,258.93
468,2025-10-07 23:47:04.539864+05:00,FUT Esports,277.66
469,2025-10-07 23:47:04.540334+05:00,EDward Gaming,218.91
470,2025-10-07 23:47:04.540621+05:00,FunPlus Phoenix,120.57
471,2025-10-07 23:47:04.540967+05:00,Trace Esports,243.63
472,2025-10-07 23:47:04.541357+05:00,G2 Esports,244.63
473,2025-10-07 23:47:04.541832+05:00,Paper Rex,259.29
474,2025-10-07 23:47:04.542315+05:00,KRÜ Esports,264.98
475,2025-10-07 23:47:04.542673+05:00,FNATIC,208.85
476,2025-10-07 23:47:04.542989+05:00,DRX,267.45
477,2025-10-07 23:47:04.543280+05:00,Team Heretics,230.04
478,2025-10-07 23:47:04.543599+05:00,Team Vitality,169.19
479,2025-10-07 23:47:04.543880+05:00,Sentinels,264.22
480,2025-10-07 23:47:04.544167+05:00,Bilibili Gaming,262.03
481,2025-10-07 23:47:14.557999+05:00,TALON,225.82
482,2025-10-07 23:47:14.560229+05:00,LEVIATÁN,212.04
483,2025-10-07 23:47:14.560601+05:00,Gen.G,254.06
484,2025-10-07 23:47:14.560922+05:00,FUT Esports,271.98
485,2025-10-07 23:47:14.561237+05:00,EDward Gaming,218.89
486,2025-10-07 23:47:14.561525+05:00,FunPlus Phoenix,127.64
487,2025-10-07 23:47:14.561804+05:00,Trace Esports,247.84
488,2025-10-07 23:47:14.562119+05:00,G2 Esports,240.64
489,2025-10-07 23:47:14.562423+05:00,Paper Rex,260.69
490,2025-10-07 23:47:14.562734+05:00,KRÜ Esports,263.36
491,2025-10-07 23:47:14.563030+05:00,FNATIC,211.95
492,2025-10-07 23:47:14.563331+05:00,DRX,269.01
493,2025-10-07 23:47:14.563633+05:00,Team Heretics,234.56
494,2025-10-07 23:47:14.563915+05:00,Team Vitality,178.09
495,2025-10-07 23:47:14.564195+05:00,Sentinels,262.19
496,2025-10-07 23:47:14.564710+05:00,Bilibili Gaming,261.49
497,2025-10-07 23:47:24.575023+05:00,TALON,228.47
498,2025-10-07 23:47:24.577009+05:00,LEVIATÁN,221.78
499,2025-10-07 23:47:24.577383+05:00,Gen.G,263.60
500,2025-10-07 23:47:24.577733+05:00,FUT Esports,265.74
501,2025-10-07 23:47:24.578125+05:00,EDward Gaming,219.92
502,2025-10-07 23:47:24.578457+05:00,FunPlus Phoenix,118.71
503,2025-10-07 23:47:24.578789+05:00,Trace Esports,254.92
504,2025-10-07 23:47:24.579284+05:00,G2 Esports,243.72
505,2025-10-07 23:47:24.579671+05:00,Paper Rex,270.02
506,2025-10-07 23:47:24.580040+05:00,KRÜ Esports,269.37
507,2025-10-07 23:47:24.580387+05:00,FNATIC,218.44
508,2025-10-07 23:47:24.580670+05:00,DRX,260.06
509,2025-10-07 23:47:24.580954+05:00,Team Heretics,232.51
510,2025-10-07 23:47:24.581286+05:00,Team Vitality,172.18
511,2025-10-07 23:47:24.581632+05:00,Sentinels,262.44
512,2025-10-07 23:47:24.581978+05:00,Bilibili Gaming,254.77
513,2025-10-07 23:47:34.589010+05:00,TALON,231.65
514,2025-10-07 23:47:34.591247+05:00,LEVIATÁN,223.56
515,2025-10-07 23:47:34.591710+05:00,Gen.G,272.82
516,2025-10-07 23:47:34.592023+05:00,FUT Esports,268.68
517,2025-10-07 23:47:34.592336+05:00,EDward Gaming,213.01
518,2025-10-07 23:47:34.592625+05:00,FunPlus Phoenix,119.49
519,2025-10-07 23:47:34.592912+05:00,Trace Esports,263.90
520,2025-10-07 23:47:34.593210+05:00,G2 Esports,243.75
521,2025-10-07 23:47:34.593512+05:00,Paper Rex,276.83
522,2025-10-07 23:47:34.593818+05:00,KRÜ Esports,270.00
523,2025-10-07 23:47:34.594100+05:00,FNATIC,223.51
524,2025-10-07 23:47:34.594397+05:00,DRX,266.37
525,2025-10-07 23:47:34.594759+05:00,Team Heretics,228.35
526,2025-10-07 23:47:34.595044+05:00,Team Vitality,178.33
527,2025-10-07 23:47:34.595327+05:00,Sentinels,258.71
528,2025-10-07 23:47:34.595623+05:00,Bilibili Gaming,247.24
529,2025-10-07 23:47:44.607276+05:00,TALON,238.28
530,2025-10-07 23:47:44.609145+05:00,LEVIATÁN,232.82
531,2025-10-07 23:47:44.609536+05:00,Gen.G,270.01
532,2025-10-07 23:47:44.609905+05:00,FUT Esports,259.67
533,2025-10-07 23:47:44.610223+05:00,EDward Gaming,215.95
534,2025-10-07 23:47:44.610515+05:00,FunPlus Phoenix,123.06
535,2025-10-07 23:47:44.610795+05:00,Trace Esports,273.83
536,2025-10-07 23:47:44.611120+05:00,G2 Esports,239.68
537,2025-10-07 23:47:44.611474+05:00,Paper Rex,272.35
538,2025-10-07 23:47:44.611767+05:00,KRÜ Esports,263.54
539,2025-10-07 23:47:44.612099+05:00,FNATIC,219.22
540,2025-10-07 23:47:44.612470+05:00,DRX,263.70
541,2025-10-07 23:47:44.613005+05:00,Team Heretics,233.73
542,2025-10-07 23:47:44.613291+05:00,Team Vitality,174.32
543,2025-10-07 23:47:44.613579+05:00,Sentinels,263.07
544,2025-10-07 23:47:44.613866+05:00,Bilibili Gaming,237.78
545,2025-10-07 23:47:54.625865+05:00,TALON,240.41
546,2025-10-07 23:47:54.627381+05:00,LEVIATÁN,238.75
547,2025-10-07 23:47:54.627617+05:00,Gen.G,269.23
548,2025-10-07 23:47:54.627833+05:00,FUT Esports,254.75
549,2025-10-07 23:47:54.628053+05:00,EDward Gaming,217.76
550,2025-10-07 23:47:54.628298+05:00,FunPlus Phoenix,124.31
551,2025-10-07 23:47:54.628519+05:00,Trace Esports,279.62
552,2025-10-07 23:47:54.628735+05:00,G2 Esports,247.30
553,2025-10-07 23:47:54.628948+05:00,Paper Rex,263.44
554,2025-10-07 23:47:54.629168+05:00,KRÜ Esports,256.61
555,2025-10-07 23:47:54.629399+05:00,FNATIC,226.25
556,2025-10-07 23:47:54.629671+05:00,DRX,261.56
557,2025-10-07 23:47:54.629887+05:00,Team Heretics,239.04
558,2025-10-07 23:47:54.630098+05:00,Team Vitality,183.17
559,2025-10-07 23:47:54.630317+05:00,Sentinels,265.95
560,2025-10-07 23:47:54.630544+05:00,Bilibili Gaming,229.84
561,2025-10-07 23:48:04.635949+05:00,TALON,240.60
562,2025-10-07 23:48:04.638040+05:00,LEVIATÁN,229.24
563,2025-10-07 23:48:04.638510+05:00,Gen.G,278.33
564,2025-10-07 23:48:04.638940+05:00,FUT Esports,261.32
565,2025-10-07 23:48:04.639266+05:00,EDward Gaming,216.89
566,2025-10-07 23:48:04.639558+05:00,FunPlus Phoenix,129.27
567,2025-10-07 23:48:04.639860+05:00,Trace Esports,282.46
568,2025-10-07 23:48:04.640191+05:00,G2 Esports,239.80
569,2025-10-07 23:48:04.640503+05:00,Paper Rex,272.21
570,2025-10-07 23:48:04.640795+05:00,KRÜ Esports,258.60
571,2025-10-07 23:48:04.641093+05:00,FNATIC,229.77
572,2025-10-07 23:48:04.641374+05:00,DRX,270.66
573,2025-10-07 23:48:04.641668+05:00,Team Heretics,248.75
574,2025-10-07 23:48:04.641992+05:00,Team Vitality,192.10
575,2025-10-07 23:48:04.642353+05:00,Sentinels,257.08
576,2025-10-07 23:48:04.642655+05:00,Bilibili Gaming,238.52
577,2025-10-07 23:48:14.656342+05:00,TALON,242.79
578,2025-10-07 23:48:14.658712+05:00,LEVIATÁN,221.39
579,2025-10-07 23:48:14.659278+05:00,Gen.G,278.21
580,2025-10-07 23:48:14.659628+05:00,FUT Esports,252.00
581,2025-10-07 23:48:14.659935+05:00,EDward Gaming,224.28
582,2025-10-07 23:48:14.660223+05:00,FunPlus Phoenix,135.36
583,2025-10-07 23:48:14.660506+05:00,Trace Esports,279.95
584,2025-10-07 23:48:14.660807+05:00,G2 Esports,237.53
585,2025-10-07 23:48:14.661104+05:00,Paper Rex,280.12
586,2025-10-07 23:48:14.661391+05:00,KRÜ Esports,249.25
587,2025-10-07 23:48:14.661675+05:00,FNATIC,222.63
588,2025-10-07 23:48:14.661975+05:00,DRX,260.97
589,2025-10-07 23:48:14.662270+05:00,Team Heretics,248.47
590,2025-10-07 23:48:14.662558+05:00,Team Vitality,201.65
591,2025-10-07 23:48:14.662861+05:00,Sentinels,247.28
592,2025-10-07 23:48:14.663166+05:00,Bilibili Gaming,238.47
593,2025-10-07 23:48:24.671971+05:00,TALON,252.59
594,2025-10-07 23:48:24.674624+05:00,LEVIATÁN,227.98
595,2025-10-07 23:48:24.675168+05:00,Gen.G,268.79
596,2025-10-07 23:48:24.675702+05:00,FUT Esports,258.71
597,2025-10-07 23:48:24.676060+05:00,EDward Gaming,222.50
598,2025-10-07 23:48:24.676384+05:00,FunPlus Phoenix,145.12
599,2025-10-07 23:48:24.676680+05:00,Trace Esports,287.56
600,2025-10-07 23:48:24.676967+05:00,G2 Esports,238.75
601,2025-10-07 23:48:24.677255+05:00,Paper Rex,285.75
602,2025-10-07 23:48:24.677539+05:00,KRÜ Esports,256.41
603,2025-10-07 23:48:24.677831+05:00,FNATIC,214.98
604,2025-10-07 23:48:24.678116+05:00,DRX,268.11
605,2025-10-07 23:48:24.678426+05:00,Team Heretics,248.85
606,2025-10-07 23:48:24.678712+05:00,Team Vitality,196.32
607,2025-10-07 23:48:24.679014+05:00,Sentinels,243.66
608,2025-10-07 23:48:24.679339+05:00,Bilibili Gaming,237.95
609,2025-10-07 23:48:34.690570+05:00,TALON,257.99
610,2025-10-07 23:48:34.691068+05:00,LEVIATÁN,229.40
611,2025-10-07 23:48:34.691305+05:00,Gen.G,278.78
612,2025-10-07 23:48:34.691526+05:00,FUT Esports,263.59
613,2025-10-07 23:48:34.691757+05:00,EDward Gaming,224.30
614,2025-10-07 23:48:34.691966+05:00,FunPlus Phoenix,146.29
615,2025-10-07 23:48:34.692221+05:00,Trace Esports,286.26
616,2025-10-07 23:48:34.692426+05:00,G2 Esports,240.39
617,2025-10-07 23:48:34.692644+05:00,Paper Rex,283.99
618,2025-10-07 23:48:34.692873+05:00,KRÜ Esports,259.67
619,2025-10-07 23:48:34.693213+05:00,FNATIC,214.94
620,2025-10-07 23:48:34.693421+05:00,DRX,264.49
621,2025-10-07 23:48:34.693629+05:00,Team Heretics,238.95
622,2025-10-07 23:48:34.693849+05:00,Team Vitality,198.32
623,2025-10-07 23:48:34.694057+05:00,Sentinels,239.96
624,2025-10-07 23:48:34.694263+05:00,Bilibili Gaming,231.52
625,2025-10-07 23:48:44.699580+05:00,TALON,266.62
626,2025-10-07 23:48:44.701587+05:00,LEVIATÁN,219.81
627,2025-10-07 23:48:44.701973+05:00,Gen.G,274.48
628,2025-10-07 23:48:44.702359+05:00,FUT Esports,257.24
629,2025-10-07 23:48:44.702715+05:00,EDward Gaming,227.26
630,2025-10-07 23:48:44.703005+05:00,FunPlus Phoenix,143.09
631,2025-10-07 23:48:44.703292+05:00,Trace Esports,285.07
632,2025-10-07 23:48:44.703586+05:00,G2 Esports,241.07
633,2025-10-07 23:48:44.703893+05:00,Paper Rex,279.23
634,2025-10-07 23:48:44.704212+05:00,KRÜ Esports,265.06
635,2025-10-07 23:48:44.704496+05:00,FNATIC,224.69
636,2025-10-07 23:48:44.704899+05:00,DRX,272.25
637,2025-10-07 23:48:44.705335+05:00,Team Heretics,240.33
638,2025-10-07 23:48:44.705713+05:00,Team Vitality,203.99
639,2025-10-07 23:48:44.705994+05:00,Sentinels,241.16
640,2025-10-07 23:48:44.706296+05:00,Bilibili Gaming,227.92
641,2025-10-07 23:48:54.714639+05:00,TALON,274.34
642,2025-10-07 23:48:54.716411+05:00,LEVIATÁN,223.51
643,2025-10-07 23:48:54.716722+05:00,Gen.G,271.63
644,2025-10-07 23:48:54.716989+05:00,FUT Esports,260.98
645,2025-10-07 23:48:54.717218+05:00,EDward Gaming,230.38
646,2025-10-07 23:48:54.717431+05:00,FunPlus Phoenix,147.84
647,2025-10-07 23:48:54.717646+05:00,Trace Esports,283.58
648,2025-10-07 23:48:54.717852+05:00,G2 Esports,242.72
649,2025-10-07 23:48:54.718062+05:00,Paper Rex,281.66
650,2025-10-07 23:48:54.718271+05:00,KRÜ Esports,262.20
651,2025-10-07 23:48:54.718474+05:00,FNATIC,230.59
652,2025-10-07 23:48:54.718684+05:00,DRX,276.62
653,2025-10-07 23:48:54.718944+05:00,Team Heretics,242.33
654,2025-10-07 23:48:54.719254+05:00,Team Vitality,211.85
655,2025-10-07 23:48:54.719561+05:00,Sentinels,235.85
656,2025-10-07 23:48:54.719818+05:00,Bilibili Gaming,227.45
657,2025-10-07 23:49:04.732905+05:00,TALON,266.95
658,2025-10-07 23:49:04.734773+05:00,LEVIATÁN,233.00
659,2025-10-07 23:49:04.735073+05:00,Gen.G,280.06
660,2025-10-07 23:49:04.735311+05:00,FUT Esports,263.56
661,2025-10-07 23:49:04.735556+05:00,EDward Gaming,229.93
662,2025-10-07 23:49:04.735797+05:00,FunPlus Phoenix,150.79
663,2025-10-07 23:49:04.736020+05:00,Trace Esports,277.64
664,2025-10-07 23:49:04.736273+05:00,G2 Esports,242.28
665,2025-10-07 23:49:04.736557+05:00,Paper Rex,280.07
666,2025-10-07 23:49:04.736838+05:00,KRÜ Esports,265.39
667,2025-10-07 23:49:04.737098+05:00,FNATIC,230.86
668,2025-10-07 23:49:04.737398+05:00,DRX,277.96
669,2025-10-07 23:49:04.737727+05:00,Team Heretics,235.76
670,2025-10-07 23:49:04.738016+05:00,Team Vitality,205.84
671,2025-10-07 23:49:04.738281+05:00,Sentinels,231.14
672,2025-10-07 23:49:04.738533+05:00,Bilibili Gaming,235.36
673,2025-10-07 23:49:14.753374+05:00,TALON,269.74
674,2025-10-07 23:49:14.755248+05:00,LEVIATÁN,236.46
675,2025-10-07 23:49:14.755640+05:00,Gen.G,287.68
676,2025-10-07 23:49:14.756135+05:00,FUT Esports,260.60
677,2025-10-07 23:49:14.756469+05:00,EDward Gaming,235.42
678,2025-10-07 23:49:14.756772+05:00,FunPlus Phoenix,142.97
679,2025-10-07 23:49:14.757101+05:00,Trace Esports,273.33
680,2025-10-07 23:49:14.757389+05:00,G2 Esports,251.22
681,2025-10-07 23:49:14.757810+05:00,Paper Rex,284.67
682,2025-10-07 23:49:14.758236+05:00,KRÜ Esports,257.07
683,2025-10-07 23:49:14.758601+05:00,FNATIC,234.91
684,2025-10-07 23:49:14.759007+05:00,DRX,283.77
685,2025-10-07 23:49:14.759320+05:00,Team Heretics,230.06
686,2025-10-07 23:49:14.759669+05:00,Team Vitality,206.49
687,2025-10-07 23:49:14.759960+05:00,Sentinels,236.07
688,2025-10-07 23:49:14.760250+05:00,Bilibili Gaming,237.04
689,2025-10-07 23:49:24.770352+05:00,TALON,269.28
690,2025-10-07 23:49:24.771115+05:00,LEVIATÁN,239.84
691,2025-10-07 23:49:24.771524+05:00,Gen.G,287.16
692,2025-10-07 23:49:24.771877+05:00,FUT Esports,255.96
693,2025-10-07 23:49:24.772189+05:00,EDward Gaming,235.42
694,2025-10-07 23:49:24.772477+05:00,FunPlus Phoenix,139.49
695,2025-10-07 23:49:24.772761+05:00,Trace Esports,268.96
696,2025-10-07 23:49:24.773038+05:00,G2 Esports,251.52
697,2025-10-07 23:49:24.773335+05:00,Paper Rex,283.04
698,2025-10-07 23:49:24.773704+05:00,KRÜ Esports,257.11
699,2025-10-07 23:49:24.774058+05:00,FNATIC,230.46
700,2025-10-07 23:49:24.774345+05:00,DRX,293.63
701,2025-10-07 23:49:24.774637+05:00,Team Heretics,224.87
702,2025-10-07 23:49:24.774933+05:00,Team Vitality,213.54
703,2025-10-07 23:49:24.775218+05:00,Sentinels,244.37
704,2025-10-07 23:49:24.775509+05:00,Bilibili Gaming,241.10
705,2025-10-07 23:49:34.780778+05:00,TALON,279.28
706,2025-10-07 23:49:34.782844+05:00,LEVIATÁN,231.61
707,2025-10-07 23:49:34.783142+05:00,Gen.G,286.96
708,2025-10-07 23:49:34.783405+05:00,FUT Esports,262.31
709,2025-10-07 23:49:34.783654+05:00,EDward Gaming,236.67
710,2025-10-07 23:49:34.783923+05:00,FunPlus Phoenix,148.60
711,2025-10-07 23:49:34.784181+05:00,Trace Esports,272.74
712,2025-10-07 23:49:34.784446+05:00,G2 Esports,253.33
713,2025-10-07 23:49:34.784726+05:00,Paper Rex,276.70
714,2025-10-07 23:49:34.784973+05:00,KRÜ Esports,256.21
715,2025-10-07 23:49:34.785196+05:00,FNATIC,239.17
716,2025-10-07 23:49:34.785435+05:00,DRX,297.60
717,2025-10-07 23:49:34.785669+05:00,Team Heretics,229.50
718,2025-10-07 23:49:34.785893+05:00,Team Vitality,220.28
719,2025-10-07 23:49:34.786136+05:00,Sentinels,241.39
720,2025-10-07 23:49:34.786343+05:00,Bilibili Gaming,234.18
721,2025-10-07 23:49:44.794747+05:00,TALON,280.38
722,2025-10-07 23:49:44.795484+05:00,LEVIATÁN,230.85
723,2025-10-07 23:49:44.795912+05:00,Gen.G,291.14
724,2025-10-07 23:49:44.796238+05:00,FUT Esports,266.14
725,2025-10-07 23:49:44.796531+05:00,EDward Gaming,238.98
726,2025-10-07 23:49:44.796819+05:00,FunPlus Phoenix,154.43
727,2025-10-07 23:49:44.797289+05:00,Trace Esports,282.14
728,2025-10-07 23:49:44.797872+05:00,G2 Esports,249.89
729,2025-10-07 23:49:44.798341+05:00,Paper Rex,278.86
730,2025-10-07 23:49:44.798645+05:00,KRÜ Esports,251.47
731,2025-10-07 23:49:44.798943+05:00,FNATIC,235.21
732,2025-10-07 23:49:44.799233+05:00,DRX,289.78
733,2025-10-07 23:49:44.799530+05:00,Team Heretics,222.32
734,2025-10-07 23:49:44.799833+05:00,Team Vitality,218.29
735,2025-10-07 23:49:44.800132+05:00,Sentinels,232.60
736,2025-10-07 23:49:44.800414+05:00,Bilibili Gaming,228.09
737,2025-10-07 23:49:54.812428+05:00,TALON,274.59
738,2025-10-07 23:49:54.815920+05:00,LEVIATÁN,236.20
739,2025-10-07 23:49:54.816223+05:00,Gen.G,288.04
740,2025-10-07 23:49:54.816513+05:00,FUT Esports,275.66
741,2025-10-07 23:49:54.816821+05:00,EDward Gaming,242.16
742,2025-10-07 23:49:54.817110+05:00,FunPlus Phoenix,150.40
743,2025-10-07 23:49:54.817516+05:00,Trace Esports,278.59
744,2025-10-07 23:49:54.817800+05:00,G2 Esports,258.00
745,2025-10-07 23:49:54.818098+05:00,Paper Rex,278.92
746,2025-10-07 23:49:54.818408+05:00,KRÜ Esports,244.89
747,2025-10-07 23:49:54.818694+05:00,FNATIC,237.93
748,2025-10-07 23:49:54.818978+05:00,DRX,292.63
749,2025-10-07 23:49:54.819275+05:00,Team Heretics,229.25
750,2025-10-07 23:49:54.819582+05:00,Team Vitality,223.89
751,2025-10-07 23:49:54.819867+05:00,Sentinels,228.12
752,2025-10-07 23:49:54.820157+05:00,Bilibili Gaming,222.93
753,2025-10-07 23:50:04.835390+05:00,TALON,282.95
754,2025-10-07 23:50:04.837933+05:00,LEVIATÁN,242.96
755,2025-10-07 23:50:04.838349+05:00,Gen.G,289.74
756,2025-10-07 23:50:04.838768+05:00,FUT Esports,268.83
757,2025-10-07 23:50:04.839122+05:00,EDward Gaming,244.56
758,2025-10-07 23:50:04.839434+05:00,FunPlus Phoenix,159.56
759,2025-10-07 23:50:04.839827+05:00,Trace Esports,284.34
760,2025-10-07 23:50:04.840170+05:00,G2 Esports,251.52
761,2025-10-07 23:50:04.840452+05:00,Paper Rex,286.08
762,2025-10-07 23:50:04.840793+05:00,KRÜ Esports,249.29
763,2025-10-07 23:50:04.841088+05:00,FNATIC,239.84
764,2025-10-07 23:50:04.841387+05:00,DRX,283.24
765,2025-10-07 23:50:04.841708+05:00,Team Heretics,224.32
766,2025-10-07 23:50:04.841989+05:00,Team Vitality,217.77
767,2025-10-07 23:50:04.842265+05:00,Sentinels,220.72
768,2025-10-07 23:50:04.842560+05:00,Bilibili Gaming,218.53
769,2025-10-07 23:50:14.844892+05:00,TALON,292.85
770,2025-10-07 23:50:14.845784+05:00,LEVIATÁN,243.70
771,2025-10-07 23:50:14.846157+05:00,Gen.G,293.99
772,2025-10-07 23:50:14.846472+05:00,FUT Esports,264.31
773,2025-10-07 23:50:14.846769+05:00,EDward Gaming,250.15
774,2025-10-07 23:50:14.847056+05:00,FunPlus Phoenix,157.64
775,2025-10-07 23:50:14.848252+05:00,Trace Esports,279.67
776,2025-10-07 23:50:14.848563+05:00,G2 Esports,257.74
777,2025-10-07 23:50:14.848859+05:00,Paper Rex,295.36
778,2025-10-07 23:50:14.849163+05:00,KRÜ Esports,258.36
779,2025-10-07 23:50:14.849452+05:00,FNATIC,246.62
780,2025-10-07 23:50:14.849734+05:00,DRX,284.34
781,2025-10-07 23:50:14.850018+05:00,Team Heretics,221.16
782,2025-10-07 23:50:14.850305+05:00,Team Vitality,212.68
783,2025-10-07 23:50:14.850613+05:00,Sentinels,229.37
784,2025-10-07 23:50:14.850896+05:00,Bilibili Gaming,228.12
785,2025-10-07 23:50:24.859429+05:00,TALON,289.68
786,2025-10-07 23:50:24.860369+05:00,LEVIATÁN,250.21
787,2025-10-07 23:50:24.860751+05:00,Gen.G,289.21
788,2025-10-07 23:50:24.861134+05:00,FUT Esports,269.29
789,2025-10-07 23:50:24.861441+05:00,EDward Gaming,256.32
790,2025-10-07 23:50:24.861738+05:00,FunPlus Phoenix,151.25
791,2025-10-07 23:50:24.862075+05:00,Trace Esports,270.04
792,2025-10-07 23:50:24.862393+05:00,G2 Esports,260.45
793,2025-10-07 23:50:24.862695+05:00,Paper Rex,301.57
794,2025-10-07 23:50:24.862983+05:00,KRÜ Esports,266.20
795,2025-10-07 23:50:24.863267+05:00,FNATIC,238.74
796,2025-10-07 23:50:24.863562+05:00,DRX,284.76
797,2025-10-07 23:50:24.863867+05:00,Team Heretics,216.01
798,2025-10-07 23:50:24.864162+05:00,Team Vitality,211.16
799,2025-10-07 23:50:24.864445+05:00,Sentinels,228.80
800,2025-10-07 23:50:24.864740+05:00,Bilibili Gaming,230.50
801,2025-10-07 23:50:34.880136+05:00,TALON,288.47
802,2025-10-07 23:50:34.880906+05:00,LEVIATÁN,254.52
803,2025-10-07 23:50:34.881232+05:00,Gen.G,290.44
804,2025-10-07 23:50:34.881539+05:00,FUT Esports,276.89
805,2025-10-07 23:50:34.881838+05:00,EDward Gaming,262.28
806,2025-10-07 23:50:34.882125+05:00,FunPlus Phoenix,152.00
807,2025-10-07 23:50:34.882412+05:00,Trace Esports,269.60
808,2025-10-07 23:50:34.882752+05:00,G2 Esports,254.29
809,2025-10-07 23:50:34.883111+05:00,Paper Rex,293.68
810,2025-10-07 23:50:34.883444+05:00,KRÜ Esports,256.79
811,2025-10-07 23:50:34.883734+05:00,FNATIC,238.04
812,2025-10-07 23:50:34.884017+05:00,DRX,279.01
813,2025-10-07 23:50:34.884305+05:00,Team Heretics,208.39
814,2025-10-07 23:50:34.884591+05:00,Team Vitality,201.53
815,2025-10-07 23:50:34.884877+05:00,Sentinels,232.53
816,2025-10-07 23:50:34.885157+05:00,Bilibili Gaming,234.22
817,2025-10-07 23:50:44.895955+05:00,TALON,290.26
818,2025-10-07 23:50:44.896461+05:00,LEVIATÁN,263.41
819,2025-10-07 23:50:44.896709+05:00,Gen.G,286.58
820,2025-10-07 23:50:44.896952+05:00,FUT Esports,279.81
821,2025-10-07 23:50:44.897204+05:00,EDward Gaming,268.16
822,2025-10-07 23:50:44.897456+05:00,FunPlus Phoenix,145.92
823,2025-10-07 23:50:44.897669+05:00,Trace Esports,272.86
824,2025-10-07 23:50:44.897905+05:00,G2 Esports,251.77
825,2025-10-07 23:50:44.898137+05:00,Paper Rex,293.17
826,2025-10-07 23:50:44.898362+05:00,KRÜ Esports,252.28
827,2025-10-07 23:50:44.898586+05:00,FNATIC,234.91
828,2025-10-07 23:50:44.898831+05:00,DRX,284.51
829,2025-10-07 23:50:44.899125+05:00,Team Heretics,203.41
830,2025-10-07 23:50:44.899391+05:00,Team Vitality,198.33
831,2025-10-07 23:50:44.899682+05:00,Sentinels,239.67
832,2025-10-07 23:50:44.900002+05:00,Bilibili Gaming,230.93
833,2025-10-07 23:50:54.909182+05:00,TALON,287.93
834,2025-10-07 23:50:54.909851+05:00,LEVIATÁN,261.54
835,2025-10-07 23:50:54.910159+05:00,Gen.G,289.76
836,2025-10-07 23:50:54.910448+05:00,FUT Esports,288.69
837,2025-10-07 23:50:54.910772+05:00,EDward Gaming,269.91
838,2025-10-07 23:50:54.911077+05:00,FunPlus Phoenix,141.49
839,2025-10-07 23:50:54.911361+05:00,Trace Esports,273.11
840,2025-10-07 23:50:54.911642+05:00,G2 Esports,252.03
841,2025-10-07 23:50:54.911923+05:00,Paper Rex,299.96
842,2025-10-07 23:50:54.912225+05:00,KRÜ Esports,246.32
